P1_HP,P1_Atk,P1_Def,P1_SpAtk,P1_SpDef,P1_Speed,P2_HP,P2_Atk,P2_Def,P2_SpAtk,P2_SpDef,P2_Speed,Vantagem_Tipo_P1,Vantagem_Tipo_P2,Vitoria_P1
324,240,273,240,273,291,360,394,353,394,295,328,0.25,2.0,0
424,251,273,383,295,174,304,207,207,185,185,218,1.0,1.0,1
364,339,339,339,339,284,294,196,196,218,243,183,1.0,1.0,1
354,284,317,306,328,218,414,174,339,416,339,229,0.5,2.0,0
404,405,361,295,328,405,286,218,190,218,190,254,2.0,0.5,1
274,328,218,218,262,372,404,438,350,317,350,262,1.0,1.0,0
294,229,251,207,207,207,362,361,262,383,284,353,1.0,1.0,0
314,240,394,174,394,119,454,372,306,482,328,317,0.5,1.0,0
368,320,221,207,221,311,334,449,372,251,306,339,2.0,1.0,0
334,247,207,207,207,207,364,306,284,394,350,350,0.5,1.0,0
344,262,262,262,262,262,416,438,262,535,372,416,1.0,1.0,0
334,262,240,251,251,361,420,355,368,258,267,212,1.0,1.0,0
374,405,394,240,284,163,264,232,185,163,185,267,1.0,1.0,1
394,348,339,273,295,232,338,234,229,278,229,359,0.5,2.0,0
286,218,240,177,236,174,336,366,262,196,218,256,1.0,1.0,0
426,388,326,282,326,229,364,284,306,350,394,350,2.0,1.0,1
322,271,218,185,218,185,324,256,295,278,273,364,1.0,2.0,0
416,350,306,447,306,394,294,152,152,163,163,196,1.0,1.0,1
314,229,273,185,185,163,304,251,344,339,344,298,2.0,1.0,1
478,410,344,357,304,322,264,185,174,229,174,273,1.0,0.25,1
424,295,284,328,284,174,424,379,251,328,251,251,1.0,1.0,0
354,350,383,328,339,295,334,328,262,284,284,339,1.0,0.5,1
300,185,201,339,240,240,362,361,262,383,284,353,2.0,1.0,0
420,482,361,372,317,311,324,218,262,218,306,251,1.0,1.0,1
364,262,251,284,372,328,304,218,196,174,174,218,2.0,4.0,0
464,416,339,207,284,218,328,214,227,247,240,258,1.0,1.0,1
364,370,306,227,256,306,450,278,267,326,311,236,4.0,0.5,1
364,306,284,394,350,350,388,438,361,284,361,434,0.5,2.0,0
284,240,196,196,196,174,338,236,234,287,256,331,2.0,1.0,1
404,405,361,295,328,405,368,320,221,207,221,311,1.0,2.0,1
334,383,328,229,262,295,294,196,196,218,243,183,0.5,1.0,1
426,388,326,282,326,229,324,295,218,317,295,350,2.0,0.5,1
284,192,185,227,185,196,324,218,218,240,262,218,2.0,1.0,1
304,251,295,185,185,229,304,262,328,196,196,174,0.5,2.0,0
414,361,375,251,313,309,348,344,383,251,262,265,1.0,2.0,0
354,218,284,317,306,251,384,372,372,240,240,218,1.0,1.0,0
304,251,344,339,344,298,280,229,295,174,251,174,1.0,1.0,1
314,229,229,405,405,405,324,251,284,482,317,394,2.0,2.0,0
350,276,273,287,328,328,280,199,196,218,251,251,2.0,0.5,1
334,251,240,350,317,394,320,317,236,262,236,322,0.5,1.0,0
314,196,196,251,207,185,284,172,207,172,207,188,1.0,1.0,1
374,372,284,295,273,295,340,295,251,471,405,328,1.0,2.0,0
394,251,350,240,394,251,304,273,295,152,174,196,1.0,1.0,1
304,185,284,218,306,174,384,251,251,196,196,141,2.0,1.0,1
280,174,199,174,199,240,384,218,183,240,205,262,2.0,1.0,1
420,328,375,287,317,317,524,350,251,251,350,174,1.0,1.0,1
354,218,284,317,306,251,336,199,278,243,300,159,1.0,1.0,1
284,284,185,185,207,262,544,357,251,207,229,269,2.0,1.0,0
382,383,306,361,284,331,294,256,240,185,218,247,1.0,2.0,1
384,394,273,273,273,229,388,339,306,383,306,324,1.0,1.0,0
354,284,295,350,306,218,284,218,196,218,196,185,1.0,2.0,1
334,273,262,251,295,273,344,284,251,306,251,295,1.0,1.0,0
434,361,295,306,273,328,394,372,251,317,273,240,1.0,1.0,1
294,273,240,196,174,218,304,460,350,460,350,350,0.0,2.0,0
364,289,291,328,328,284,312,247,223,291,232,322,2.0,0.5,1
314,247,306,218,284,201,464,416,339,207,284,218,2.0,1.0,0
304,251,344,339,344,298,284,172,207,172,207,188,2.0,0.5,1
360,273,273,262,262,223,294,251,196,174,196,240,2.0,2.0,1
314,337,339,315,273,223,374,240,328,383,284,273,2.0,1.0,1
414,383,328,240,328,328,312,247,223,291,232,322,1.0,1.0,1
304,262,460,262,460,306,354,284,262,251,273,306,2.0,1.0,1
414,394,372,207,207,196,344,295,251,339,295,372,1.0,4.0,0
344,273,240,339,240,339,336,366,262,196,218,256,0.5,1.0,0
284,196,185,218,328,262,324,251,240,394,273,350,2.0,1.0,1
344,240,262,300,280,295,424,284,372,284,306,174,1.0,2.0,0
354,350,339,174,262,328,338,289,245,210,214,203,1.0,1.0,1
414,416,229,174,229,317,398,357,348,454,388,278,1.0,1.0,0
